Id;Designator;Package;Quantity;Designation;Supplier and ref;Description
55;R84;R_0603;1;100K;CRG0603F100K;TE Connectivity CRG0603 Series Thick Film Surface Mount Resistor 0603 Case 100k? ±1% 0.1W ±100ppm/°C
56;J30;Molex_KK-6410-04_04x2,54mm_Straight;1;PanelDUE;22-27-2041;Molex KK 254 Series, Series Number 6410, 2.54mm Pitch 4 Way 1 Row Straight PCB Header, Solder Termination, 4A Termination, 4A
57;J29;PIN_ARRAY_2X1;1;FAN 1;W81102T3825RC;RS Pro, 2.54mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination
58;J12;PIN_ARRAY_2X1;1;E0 TEMP;W81102T3825RC;RS Pro, 2.54mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination
59;J14;PIN_ARRAY_2X1;1;E1 TEMP;W81102T3825RC;RS Pro, 2.54mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination
60;D21;D_0603;1;FAN1;LO L296-P2R1-24;Opto LO L296-P2R1-24 Orange LED, 606 nm 0603, Rectangle Lens SMD Package
61;C96;C_0603;1;22nF;C0603C223K5RACTU;Kemet 0603 22nF Ceramic Multilayer Capacitor, 50V dc, 125°C, X7R Dielectric, ±10% SMD
62;C1;C_0603;1;2u2;C0603C225K4PACTU;Kemet 0603 C 2.2?F Ceramic Multilayer Capacitor, 16 V dc, +85°C, X5R Dielectric, ±10%
63;U3;QFN16-4x4;1;A4403;A4403GEUTR-T;Allegro Microsystems, A4403GEUTR-T Step-Down Switching Regulator 3A, 16-Pin QFN
64;Fid,Fid,Fid,Fid;Fiducial;4;VAL**;;
65;P1;USB_A;1;USB-A-PCB;292303-7;TE Connectivity Right Angle Version 2.0 Type A USB Connector, PCB Mount Socket
66;J1;PIN_ARRAY_18X2;1;CONN2X18;87606-318LF;Amphenol FCI 2.54mm 36 Way 2 Row Straight PCB Socket Through Hole Board to Board
67;J15;PIN_ARRAY_4x1;1;Z MOT;W81136T3825RC;RS Pro W81136 Series, 2.54mm Pitch 36 Way 1 Row Straight PCB Header, Solder Termination, 4A
68;J7;PIN_ARRAY_7X1;1;Z MOT/STOP;TSW-107-07-L-S;Samtec TSW Series, 2.54mm Pitch 7 Way 1 Row Straight PCB Header, Solder Termination, 7.6A
69;J8;PIN_ARRAY_7X1;1;Y MOT/STOP;TSW-107-07-L-S;Samtec TSW Series, 2.54mm Pitch 7 Way 1 Row Straight PCB Header, Solder Termination, 7.6A
70;J9;PIN_ARRAY_7X1;1;X MOT/STOP;TSW-107-07-L-S;Samtec TSW Series, 2.54mm Pitch 7 Way 1 Row Straight PCB Header, Solder Termination, 7.6A
71;J10;PIN_ARRAY_4x1;1;E0 MOT;W81136T3825RC;RS Pro W81136 Series, 2.54mm Pitch 36 Way 1 Row Straight PCB Header, Solder Termination, 4A
72;J6;PIN_ARRAY_4x1;1;E1 MOT;W81136T3825RC;RS Pro W81136 Series, 2.54mm Pitch 36 Way 1 Row Straight PCB Header, Solder Termination, 4A
73;J13;PHOENIX_CONNECTOR_2;1;E1 HEAT;1751248;Phoenix Contact COMBICON MKDS Series 3,5mm Pitch Straight PCB Terminal Block with Screw Termination
74;S1;SW_LITTLE_PCB_1;1;RESET;http://www.shoptronica.com/pulsadores-smd/2115-pulsador-tact-switch-lateral-smd-45x54x16mm.html;Button Pulser  Tact Switch 4.5x4.5x1.6 mm SMD 90º
75;S2;SW_LITTLE_PCB_1;1;ERASE;http://www.shoptronica.com/pulsadores-smd/2115-pulsador-tact-switch-lateral-smd-45x54x16mm.html;Button Pulser  Tact Switch 4.5x4.5x1.6 mm SMD 90º
76;X2,X5;CRYSTAL_KX_7_12MHz;2;CRYSTAL_4PIN;12MHz KX-7 20pF, CRYSTAL -3.2-2.5;
77;J31;Molex_KK-6410-05_05x2,54mm_Straight;1;SD_CON;22-27-2051;Molex KK 254 Series, Series Number 6410, 2.54mm Pitch 5 Way 1 Row Straight PCB Header, Solder Termination, 4A
78;R101,R102;R_0603;2;22R 1%;CRCW060322R0FKEAHP;Vishay CRCW Series Thick Film Power Resistor 0603 Case 22? ±1% 0.25W ±100ppm/K
79;D50,D51;CT/CN0603;2;PGB1010604;;VARISTOR
80;U10;MAX3421EEHJ;1;MAX3421EEHJ;;MAX3421 SPI to USB Interface Chip
81;F1;L_1812;1;MF-MSMF050-2 500 mA;;INDUCTOR, Europen Symbol
82;L21,L20;WE-CBF_0805;2;BLM21;;SMD EMI Suppression Ferrite Beads
83;C114,C118,C117;C_0603;3;100n;C0603C104K4RACTU;Kemet 0603 0.1?F Ceramic Multilayer Capacitor, 16V dc, 125°C, X7R Dielectric, ±10% SMD
84;C115,C116;C_0603;2;22p;C0603C220J5GACTU;Kemet 0603 22pF Ceramic Multilayer Capacitor, 50V dc, 125°C, C0G Dielectric, ±5% SMD
